History,Actions,Odds,Probabilities
/C:99/P1:raise2/P2:raise2/P1:c,['T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:99/P1:raise2/P2:c,['T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:99/P1:c/P2:raise2/P1:raise2/P2:c,['T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:99/P1:c/P2:raise2/P1:c,['T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:99/P1:c/P2:c,['T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:9T/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  1.0 ,  2.0 ,  2.0 ,  2.0],[0.125 ,  0.125 ,  0.25 ,  0.25 ,  0.25]
/C:9Q/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  2.0 ,  1.0 ,  2.0],[0.125 ,  0.25 ,  0.25 ,  0.125 ,  0.25]
/C:9Q/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  2.0 ,  1.0 ,  2.0],[0.125 ,  0.25 ,  0.25 ,  0.125 ,  0.25]
/C:9Q/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  2.0 ,  1.0 ,  2.0],[0.125 ,  0.25 ,  0.25 ,  0.125 ,  0.25]
/C:9Q/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  2.0 ,  1.0 ,  2.0],[0.125 ,  0.25 ,  0.25 ,  0.125 ,  0.25]
/C:9K/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  2.0 ,  2.0 ,  1.0],[0.125 ,  0.25 ,  0.25 ,  0.25 ,  0.125]
/C:9K/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  2.0 ,  2.0 ,  1.0],[0.125 ,  0.25 ,  0.25 ,  0.25 ,  0.125]
/C:9K/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  2.0 ,  2.0 ,  1.0],[0.125 ,  0.25 ,  0.25 ,  0.25 ,  0.125]
/C:9K/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  2.0 ,  2.0 ,  1.0],[0.125 ,  0.25 ,  0.25 ,  0.25 ,  0.125]
/C:9K/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  2.0 ,  2.0 ,  1.0],[0.125 ,  0.25 ,  0.25 ,  0.25 ,  0.125]
/C:T9/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  1.0 ,  2.0 ,  2.0 ,  2.0],[0.125 ,  0.125 ,  0.25 ,  0.25 ,  0.25]
/C:T9/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  1.0 ,  2.0 ,  2.0 ,  2.0],[0.125 ,  0.125 ,  0.25 ,  0.25 ,  0.25]
/C:T9/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  1.0 ,  2.0 ,  2.0 ,  2.0],[0.125 ,  0.125 ,  0.25 ,  0.25 ,  0.25]
/C:T9/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  1.0 ,  2.0 ,  2.0 ,  2.0],[0.125 ,  0.125 ,  0.25 ,  0.25 ,  0.25]
/C:T9/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  1.0 ,  2.0 ,  2.0 ,  2.0],[0.125 ,  0.125 ,  0.25 ,  0.25 ,  0.25]
/C:TT/P1:raise2/P2:raise2/P1:c,['9' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:TT/P1:raise2/P2:c,['9' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:TT/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:TT/P1:c/P2:raise2/P1:c,['9' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:TT/P1:c/P2:c,['9' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:TJ/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  1.0 ,  2.0 ,  2.0],[0.25 ,  0.125 ,  0.125 ,  0.25 ,  0.25]
/C:TJ/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  1.0 ,  2.0 ,  2.0],[0.25 ,  0.125 ,  0.125 ,  0.25 ,  0.25]
/C:TJ/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  1.0 ,  2.0 ,  2.0],[0.25 ,  0.125 ,  0.125 ,  0.25 ,  0.25]
/C:TJ/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  1.0 ,  2.0 ,  2.0],[0.25 ,  0.125 ,  0.125 ,  0.25 ,  0.25]
/C:TJ/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  1.0 ,  2.0 ,  2.0],[0.25 ,  0.125 ,  0.125 ,  0.25 ,  0.25]
/C:TQ/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  2.0 ,  1.0 ,  2.0],[0.25 ,  0.125 ,  0.25 ,  0.125 ,  0.25]
/C:TQ/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  2.0 ,  1.0 ,  2.0],[0.25 ,  0.125 ,  0.25 ,  0.125 ,  0.25]
/C:TQ/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  2.0 ,  1.0 ,  2.0],[0.25 ,  0.125 ,  0.25 ,  0.125 ,  0.25]
/C:TQ/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  2.0 ,  1.0 ,  2.0],[0.25 ,  0.125 ,  0.25 ,  0.125 ,  0.25]
/C:TQ/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  2.0 ,  1.0 ,  2.0],[0.25 ,  0.125 ,  0.25 ,  0.125 ,  0.25]
/C:TK/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  2.0 ,  2.0 ,  1.0],[0.25 ,  0.125 ,  0.25 ,  0.25 ,  0.125]
/C:TK/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  2.0 ,  2.0 ,  1.0],[0.25 ,  0.125 ,  0.25 ,  0.25 ,  0.125]
/C:TK/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  2.0 ,  2.0 ,  1.0],[0.25 ,  0.125 ,  0.25 ,  0.25 ,  0.125]
/C:TK/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  2.0 ,  2.0 ,  1.0],[0.25 ,  0.125 ,  0.25 ,  0.25 ,  0.125]
/C:TK/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  2.0 ,  2.0 ,  1.0],[0.25 ,  0.125 ,  0.25 ,  0.25 ,  0.125]
/C:J9/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  1.0 ,  2.0 ,  2.0],[0.125 ,  0.25 ,  0.125 ,  0.25 ,  0.25]
/C:J9/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  1.0 ,  2.0 ,  2.0],[0.125 ,  0.25 ,  0.125 ,  0.25 ,  0.25]
/C:J9/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  1.0 ,  2.0 ,  2.0],[0.125 ,  0.25 ,  0.125 ,  0.25 ,  0.25]
/C:J9/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  1.0 ,  2.0 ,  2.0],[0.125 ,  0.25 ,  0.125 ,  0.25 ,  0.25]
/C:J9/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  1.0 ,  2.0 ,  2.0],[0.125 ,  0.25 ,  0.125 ,  0.25 ,  0.25]
/C:JT/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  1.0 ,  2.0 ,  2.0],[0.25 ,  0.125 ,  0.125 ,  0.25 ,  0.25]
/C:JT/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  1.0 ,  2.0 ,  2.0],[0.25 ,  0.125 ,  0.125 ,  0.25 ,  0.25]
/C:JT/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  1.0 ,  2.0 ,  2.0],[0.25 ,  0.125 ,  0.125 ,  0.25 ,  0.25]
/C:JT/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  1.0 ,  2.0 ,  2.0],[0.25 ,  0.125 ,  0.125 ,  0.25 ,  0.25]
/C:JT/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  1.0 ,  2.0 ,  2.0],[0.25 ,  0.125 ,  0.125 ,  0.25 ,  0.25]
/C:JJ/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:JJ/P1:raise2/P2:c,['9' ,  'T' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:JJ/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:JJ/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:JJ/P1:c/P2:c,['9' ,  'T' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:JQ/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  1.0 ,  1.0 ,  2.0],[0.25 ,  0.25 ,  0.125 ,  0.125 ,  0.25]
/C:JQ/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  1.0 ,  1.0 ,  2.0],[0.25 ,  0.25 ,  0.125 ,  0.125 ,  0.25]
/C:JQ/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  1.0 ,  1.0 ,  2.0],[0.25 ,  0.25 ,  0.125 ,  0.125 ,  0.25]
/C:JQ/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  1.0 ,  1.0 ,  2.0],[0.25 ,  0.25 ,  0.125 ,  0.125 ,  0.25]
/C:JQ/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  1.0 ,  1.0 ,  2.0],[0.25 ,  0.25 ,  0.125 ,  0.125 ,  0.25]
/C:JK/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  1.0 ,  2.0 ,  1.0],[0.25 ,  0.25 ,  0.125 ,  0.25 ,  0.125]
/C:JK/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  1.0 ,  2.0 ,  1.0],[0.25 ,  0.25 ,  0.125 ,  0.25 ,  0.125]
/C:JK/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  1.0 ,  2.0 ,  1.0],[0.25 ,  0.25 ,  0.125 ,  0.25 ,  0.125]
/C:JK/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  1.0 ,  2.0 ,  1.0],[0.25 ,  0.25 ,  0.125 ,  0.25 ,  0.125]
/C:JK/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  1.0 ,  2.0 ,  1.0],[0.25 ,  0.25 ,  0.125 ,  0.25 ,  0.125]
/C:Q9/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  2.0 ,  1.0 ,  2.0],[0.125 ,  0.25 ,  0.25 ,  0.125 ,  0.25]
/C:Q9/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  2.0 ,  1.0 ,  2.0],[0.125 ,  0.25 ,  0.25 ,  0.125 ,  0.25]
/C:Q9/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  2.0 ,  1.0 ,  2.0],[0.125 ,  0.25 ,  0.25 ,  0.125 ,  0.25]
/C:Q9/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  2.0 ,  1.0 ,  2.0],[0.125 ,  0.25 ,  0.25 ,  0.125 ,  0.25]
/C:Q9/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  2.0 ,  1.0 ,  2.0],[0.125 ,  0.25 ,  0.25 ,  0.125 ,  0.25]
/C:QT/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  2.0 ,  1.0 ,  2.0],[0.25 ,  0.125 ,  0.25 ,  0.125 ,  0.25]
/C:QT/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  2.0 ,  1.0 ,  2.0],[0.25 ,  0.125 ,  0.25 ,  0.125 ,  0.25]
/C:QT/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  2.0 ,  1.0 ,  2.0],[0.25 ,  0.125 ,  0.25 ,  0.125 ,  0.25]
/C:QT/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  2.0 ,  1.0 ,  2.0],[0.25 ,  0.125 ,  0.25 ,  0.125 ,  0.25]
/C:QT/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  2.0 ,  1.0 ,  2.0],[0.25 ,  0.125 ,  0.25 ,  0.125 ,  0.25]
/C:QJ/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  1.0 ,  1.0 ,  2.0],[0.25 ,  0.25 ,  0.125 ,  0.125 ,  0.25]
/C:QJ/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  1.0 ,  1.0 ,  2.0],[0.25 ,  0.25 ,  0.125 ,  0.125 ,  0.25]
/C:QJ/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  1.0 ,  1.0 ,  2.0],[0.25 ,  0.25 ,  0.125 ,  0.125 ,  0.25]
/C:QJ/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  1.0 ,  1.0 ,  2.0],[0.25 ,  0.25 ,  0.125 ,  0.125 ,  0.25]
/C:QJ/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  1.0 ,  1.0 ,  2.0],[0.25 ,  0.25 ,  0.125 ,  0.125 ,  0.25]
/C:QQ/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:QQ/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:QQ/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:QQ/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:QQ/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  2.0],[0.25 ,  0.25 ,  0.25 ,  0.25]
/C:QK/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  1.0 ,  1.0],[0.25 ,  0.25 ,  0.25 ,  0.125 ,  0.125]
/C:QK/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  1.0 ,  1.0],[0.25 ,  0.25 ,  0.25 ,  0.125 ,  0.125]
/C:QK/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  1.0 ,  1.0],[0.25 ,  0.25 ,  0.25 ,  0.125 ,  0.125]
/C:QK/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  1.0 ,  1.0],[0.25 ,  0.25 ,  0.25 ,  0.125 ,  0.125]
/C:QK/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  2.0 ,  1.0 ,  1.0],[0.25 ,  0.25 ,  0.25 ,  0.125 ,  0.125]
/C:K9/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  2.0 ,  2.0 ,  1.0],[0.125 ,  0.25 ,  0.25 ,  0.25 ,  0.125]
/C:K9/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  2.0 ,  2.0 ,  1.0],[0.125 ,  0.25 ,  0.25 ,  0.25 ,  0.125]
/C:K9/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  2.0 ,  2.0 ,  1.0],[0.125 ,  0.25 ,  0.25 ,  0.25 ,  0.125]
/C:K9/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  2.0 ,  2.0 ,  1.0],[0.125 ,  0.25 ,  0.25 ,  0.25 ,  0.125]
/C:K9/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[1.0 ,  2.0 ,  2.0 ,  2.0 ,  1.0],[0.125 ,  0.25 ,  0.25 ,  0.25 ,  0.125]
/C:KT/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  2.0 ,  2.0 ,  1.0],[0.25 ,  0.125 ,  0.25 ,  0.25 ,  0.125]
/C:KT/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  2.0 ,  2.0 ,  1.0],[0.25 ,  0.125 ,  0.25 ,  0.25 ,  0.125]
/C:KT/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  2.0 ,  2.0 ,  1.0],[0.25 ,  0.125 ,  0.25 ,  0.25 ,  0.125]
/C:KT/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  2.0 ,  2.0 ,  1.0],[0.25 ,  0.125 ,  0.25 ,  0.25 ,  0.125]
/C:KT/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  1.0 ,  2.0 ,  2.0 ,  1.0],[0.25 ,  0.125 ,  0.25 ,  0.25 ,  0.125]
/C:KJ/P1:raise2/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  1.0 ,  2.0 ,  1.0],[0.25 ,  0.25 ,  0.125 ,  0.25 ,  0.125]
/C:KJ/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  1.0 ,  2.0 ,  1.0],[0.25 ,  0.25 ,  0.125 ,  0.25 ,  0.125]
/C:KJ/P1:c/P2:raise2/P1:raise2/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  1.0 ,  2.0 ,  1.0],[0.25 ,  0.25 ,  0.125 ,  0.25 ,  0.125]
/C:KJ/P1:c/P2:raise2/P1:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  1.0 ,  2.0 ,  1.0],[0.25 ,  0.25 ,  0.125 ,  0.25 ,  0.125]
/C:KJ/P1:c/P2:c,['9' ,  'T' ,  'J' ,  'Q' ,  'K'],[2.0 ,  2.0 ,  1.0 ,  2.0 ,  1.0],[0.25 ,  0.25 ,  0.125 ,  0.25 ,  0.125]
