Map,Depth,Payoff Vector P1,Player,Sons,Parents,Structure
[53],3,"[-13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, 3.0, -11.0, -7.0, -7.0, 3.0, -11.0, 7.0, -7.0, -3.0, -3.0, 11.0, -7.0, 7.0, 3.0, 11.0, 7.0, 7.0, -3.0, 3.0, -11.0, -7.0, -7.0, 3.0, -11.0, 7.0, -7.0, -3.0, -3.0, -1.0]",1,"[122, 172, 173, 174, 133, 137, 37, 38, 88, 89, 182, 143]",[2],15
[72],3,"[0.0, -9.0, 0.0, 5.0, 0.0, 9.0, 0.0, -5.0, 0.0, 0.0, -9.0, 0.0, 5.0, 0.0, 9.0, 0.0, -5.0, 0.0, 3.0, 0.0, -7.0, 0.0, 3.0, 0.0, 7.0, 0.0, -3.0, 0.0, 0.0, -7.0, 0.0, 3.0, 0.0, 7.0, 0.0, -3.0, 0.0, -1.0]",1,"[126, 128, 131, 175, 177, 34, 139, 180, 181, 94, 95, 41]",[1],15
[81],3,"[-13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, -3.0]",1,"[125, 130, 132, 136, 35, 36]",[2],7
[87],3,"[13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, -3.0]",1,"[31, 141, 142, 30, 123, 138]",[0],7
[141],3,"[13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, 3.0, 11.0, -7.0, 7.0, 3.0, 11.0, 7.0, 7.0, -3.0, 3.0, -11.0, -7.0, -7.0, 3.0, -11.0, 7.0, -7.0, -3.0, -3.0, -11.0, -7.0, -7.0, 3.0, -11.0, 7.0, -7.0, -3.0, -3.0, -1.0]",1,"[171, 127, 129, 178, 91, 39, 176, 179, 92, 40, 144, 145]",[0],15
"[11, 2]",4,"[0.0, -5.0, 0.0, 1.0, 0.0, 5.0, 0.0, -1.0, 0.0]",1,"[78, 66]",[1],1
[10],4,"[9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0]",1,"[73, 81]",[1],1
[23],4,"[9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0]",1,"[74, 82]",[2],1
"[26, 25]",4,"[-9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0]",1,"[71, 68]",[2],1
"[47, 39]",4,"[0.0, -7.0, 0.0, 3.0, 0.0, 7.0, 0.0, -3.0, 0.0]",1,"[80, 86, 83, 97]",[1],14
"[52, 51]",4,"[-11.0, -7.0, -7.0, 3.0, -11.0, 7.0, -7.0, -3.0, -3.0]",1,"[77, 79]",[2],14
[57],4,"[11.0, -7.0, 7.0, 3.0, 11.0, 7.0, 7.0, -3.0, 3.0]",1,"[84, 96]",[2],14
"[131, 63]",4,"[-9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0]",1,"[67, 90]",[0],1
[114],4,"[11.0, -7.0, 7.0, 3.0, 11.0, 7.0, 7.0, -3.0, 3.0]",1,"[72, 76]",[1],14
"[129, 124]",4,"[-11.0, -7.0, -7.0, 3.0, -11.0, 7.0, -7.0, -3.0, -3.0]",1,"[85, 69]",[0],14
[125],4,"[9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0]",1,"[70, 87]",[0],1
[128],4,"[11.0, -7.0, 7.0, 3.0, 11.0, 7.0, 7.0, -3.0, 3.0]",1,"[75, 93]",[0],14
[161],4,"[-13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, 3.0]",2,"[149, 156, 201, 198, 150, 155]",[4],27
[169],4,"[0.0, -9.0, 0.0, 5.0, 0.0, 9.0, 0.0, -5.0, 0.0, 0.0, -9.0, 0.0, 5.0, 0.0, 9.0, 0.0, -5.0, 0.0, 3.0]",2,"[199, 152, 200, 158, 160, 164]",[8],27
[235],4,"[13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, 3.0]",2,"[197, 147, 157, 162, 167, 202, 203]",[6],27
[0],5,"[13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0]",1,"[123, 138]","[0, 13]",0
"[9, 1]",5,"[-13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0]",1,"[141, 142]","[0, 13]",0
[21],5,"[13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0]",1,"[124, 140]","[9, 1]",0
"[27, 22]",5,"[0.0, -9.0, 0.0, 5.0, 0.0, 9.0, 0.0, -5.0, 0.0]",1,"[134, 135]","[9, 1]",0
"[122, 74]",5,"[0.0, -7.0, 0.0, 3.0, 0.0, 7.0, 0.0, -3.0, 0.0]",1,"[128, 131]","[1, 11]",16
"[83, 82]",5,"[-13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0]",1,"[125, 136]","[12, 2]",0
[86],5,"[13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0]",1,"[130, 132]","[12, 2]",0
[93],5,"[11.0, -7.0, 7.0, 3.0, 11.0, 7.0, 7.0, -3.0, 3.0]",1,"[137, 143]","[10, 2]",16
"[95, 94]",5,"[-11.0, -7.0, -7.0, 3.0, -11.0, 7.0, -7.0, -3.0, -3.0]",1,"[122, 133]","[10, 2]",16
"[119, 113]",5,"[-11.0, -7.0, -7.0, 3.0, -11.0, 7.0, -7.0, -3.0, -3.0]",1,"[127, 129]","[0, 14]",16
[118],5,"[11.0, -7.0, 7.0, 3.0, 11.0, 7.0, 7.0, -3.0, 3.0]",1,"[144, 145]","[0, 14]",16
[121],5,"[11.0, -7.0, 7.0, 3.0, 11.0, 7.0, 7.0, -3.0, 3.0]",1,"[126, 139]","[1, 11]",16
[157],5,"[-11.0, 7.0, -7.0, -3.0, -3.0]",2,[159],[3],26
"[243, 165]",5,"[9.0, 5.0, 5.0, -1.0, 1.0]",2,"[170, 153]",[6],29
[170],5,"[-11.0, -7.0, -7.0, 3.0]",2,[],[5],30
[174],5,"[-11.0, -7.0, -7.0, 3.0]",2,[],[3],30
"[283, 182]",5,"[11.0, 7.0, 7.0, -3.0, 3.0]",2,[146],[3],26
[185],5,"[-9.0, 5.0, -5.0, -1.0, -1.0]",2,[151],[8],29
"[268, 190]",5,"[0.0, -5.0, 0.0, 1.0]",2,[],[8],34
"[213, 202]",5,"[9.0, -5.0, 5.0, 1.0]",2,[],[4],34
"[244, 208]",5,"[11.0, -7.0, 7.0, 3.0]",2,[],[3],30
[212],5,"[-9.0, 5.0, -5.0, -1.0, -1.0]",2,[169],[6],29
[215],5,"[-9.0, -5.0, -5.0, 1.0]",2,[],[4],34
"[254, 216]",5,"[0.0, 5.0, 0.0, -1.0, 0.0]",2,[161],[8],29
[217],5,"[-9.0, -5.0, -5.0, 1.0]",2,[],[6],34
"[256, 219]",5,"[9.0, -5.0, 5.0, 1.0]",2,[],[6],34
[220],5,"[-11.0, 7.0, -7.0, -3.0, -3.0]",2,[148],[5],26
[228],5,"[-9.0, 5.0, -5.0, -1.0, -1.0]",2,[154],[4],29
[239],5,"[-11.0, -7.0, -7.0, 3.0]",2,[],[7],30
"[274, 242]",5,"[9.0, 5.0, 5.0, -1.0, 1.0]",2,[163],[4],29
"[252, 245]",5,"[0.0, 7.0, 0.0, -3.0, 0.0]",2,[165],[5],26
"[265, 257]",5,"[0.0, -7.0, 0.0, 3.0]",2,[],[5],30
[260],5,"[-9.0, -5.0, -5.0, 1.0]",2,[],[8],34
"[270, 264]",5,"[11.0, 7.0, 7.0, -3.0, 3.0]",2,[168],[7],26
[269],5,"[-11.0, 7.0, -7.0, -3.0, -3.0]",2,[166],[7],26
"[280, 278]",5,"[11.0, -7.0, 7.0, 3.0]",2,[],[7],30
"[92, 3]",6,"[0.0, 5.0, 0.0, -1.0]",1,[],"[15, 1]",2
"[49, 14]",6,"[-9.0, 5.0, -5.0, -1.0]",1,[],"[0, 22]",2
"[137, 29]",6,"[-9.0, -5.0]",1,[],"[18, 2]",9
"[123, 32]",6,"[-11.0, 7.0, -7.0, -3.0]",1,[],"[0, 24]",11
[34],6,"[9.0, 5.0, 5.0, -1.0]",1,[],"[0, 25]",2
"[103, 36]",6,"[-9.0, 5.0, -5.0, -1.0]",1,[],"[18, 2]",2
[38],6,"[11.0, -7.0]",1,[],"[1, 23]",13
[40],6,"[9.0, -5.0]",1,[],"[16, 1]",9
[42],6,"[9.0, 5.0, 5.0, -1.0]",1,[],"[17, 2]",2
[48],6,"[11.0, 7.0, 7.0, -3.0]",1,[],"[0, 26]",11
[50],6,"[11.0, 7.0, 7.0, -3.0]",1,[],"[1, 23]",11
"[116, 54]",6,"[-11.0, 7.0, -7.0, -3.0]",1,[],"[20, 2]",11
"[91, 55]",6,"[0.0, -5.0]",1,[],"[15, 1]",9
"[133, 64]",6,"[-11.0, -7.0]",1,[],"[20, 2]",13
[65],6,"[0.0, 7.0, 0.0, -3.0]",1,[],"[1, 19]",11
[71],6,"[9.0, 5.0, 5.0, -1.0]",1,[],"[16, 1]",2
[73],6,"[9.0, -5.0]",1,[],"[17, 2]",9
[76],6,"[0.0, 7.0, 0.0, -3.0]",1,[],"[19, 1]",11
[77],6,"[11.0, 7.0, 7.0, -3.0]",1,[],"[21, 2]",11
"[96, 78]",6,"[-11.0, -7.0]",1,[],"[0, 24]",13
[89],6,"[0.0, -7.0]",1,[],"[1, 19]",13
[97],6,"[9.0, -5.0]",1,[],"[0, 25]",9
"[99, 98]",6,"[-13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0]",1,"[173, 174]","[10, 2]",17
[100],6,"[13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0]",1,"[172, 182]","[10, 2]",17
"[108, 101]",6,"[-9.0, -5.0]",1,[],"[0, 22]",9
"[107, 105]",6,"[-13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0]",1,"[178, 171]","[0, 14]",17
[106],6,"[13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0]",1,"[176, 179]","[0, 14]",17
[109],6,"[11.0, -7.0]",1,[],"[0, 26]",13
"[120, 111]",6,"[0.0, -9.0, 0.0, 5.0, 0.0, 9.0, 0.0, -5.0, 0.0]",1,"[180, 177]","[1, 11]",17
[112],6,"[13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0]",1,"[175, 181]","[1, 11]",17
[135],6,"[11.0, -7.0]",1,[],"[21, 2]",13
[143],6,"[0.0, -7.0]",1,[],"[19, 1]",13
"[176, 146]",6,"[11.0, -7.0, 7.0, 3.0]",2,[],[4],20
[148],6,"[-13.0, -9.0, -9.0, 5.0]",2,[],[7],21
[149],6,"[-11.0, 7.0, -7.0, -3.0, -3.0]",2,[187],[4],22
[155],6,"[-11.0, 7.0, -7.0, -3.0, -3.0]",2,[195],[8],22
"[189, 163]",6,"[11.0, 7.0, 7.0, -3.0, 3.0]",2,"[194, 196]",[4],22
"[192, 166]",6,"[0.0, -7.0, 0.0, 3.0]",2,[],[8],20
"[285, 168]",6,"[0.0, -9.0, 0.0, 5.0]",2,[],[5],21
"[218, 172]",6,"[0.0, 9.0, 0.0, -5.0, 0.0]",2,"[189, 188]",[5],32
[173],6,"[-13.0, 9.0, -9.0, -5.0, -5.0]",2,[185],[7],32
[175],6,"[-13.0, -9.0, -9.0, 5.0]",2,[],[3],21
"[180, 177]",6,"[11.0, -7.0, 7.0, 3.0]",2,[],[6],20
"[200, 178]",6,"[0.0, 7.0, 0.0, -3.0, 0.0]",2,[191],[8],22
"[195, 183]",6,"[13.0, -9.0, 9.0, 5.0]",2,[],[7],21
[184],6,"[-13.0, 9.0, -9.0, -5.0, -5.0]",2,[192],[5],32
"[226, 186]",6,"[11.0, 7.0, 7.0, -3.0, 3.0]",2,[186],[6],22
[194],6,"[-11.0, -7.0, -7.0, 3.0]",2,[],[8],20
"[229, 196]",6,"[13.0, 9.0, 9.0, -5.0, 5.0]",2,[190],[3],32
[198],6,"[-11.0, -7.0, -7.0, 3.0]",2,[],[4],20
[211],6,"[-13.0, 9.0, -9.0, -5.0, -5.0]",2,[193],[3],32
[250],6,"[-13.0, -9.0, -9.0, 5.0]",2,[],[5],21
"[259, 258]",6,"[13.0, -9.0, 9.0, 5.0]",2,[],[3],21
"[272, 271]",6,"[13.0, 9.0, 9.0, -5.0, 5.0]",2,[184],[7],32
[275],6,"[-11.0, -7.0, -7.0, 3.0]",2,[],[6],20
[276],6,"[-11.0, 7.0, -7.0, -3.0, -3.0]",2,[183],[6],22
"[66, 4]",7,"[-11.0, 7.0, -7.0, -3.0]",1,[],"[10, 38, 2]",3
[7],7,"[13.0, 9.0, 9.0, -5.0]",1,[],"[30, 0, 13]",5
[13],7,"[13.0, 9.0, 9.0, -5.0]",1,[],"[9, 32, 1]",5
"[68, 15]",7,"[-13.0, 9.0, -9.0, -5.0]",1,[],"[12, 35, 2]",5
[16],7,"[11.0, -7.0]",1,[],"[1, 11, 41]",8
"[43, 17]",7,"[-11.0, -7.0]",1,[],"[0, 39, 14]",8
"[132, 18]",7,"[0.0, 7.0, 0.0, -3.0]",1,[],"[1, 11, 34]",3
"[24, 19]",7,"[-11.0, 7.0, -7.0, -3.0]",1,[],"[0, 39, 14]",3
[20],7,"[13.0, 9.0, 9.0, -5.0]",1,[],"[12, 36, 2]",5
"[142, 28]",7,"[0.0, -7.0]",1,[],"[1, 11, 34]",8
[31],7,"[13.0, -9.0]",1,[],"[12, 36, 2]",10
"[126, 35]",7,"[-11.0, -7.0]",1,[],"[10, 38, 2]",8
"[46, 41]",7,"[0.0, -9.0]",1,[],"[9, 33, 1]",10
"[140, 59]",7,"[0.0, 9.0, 0.0, -5.0]",1,[],"[9, 33, 1]",5
"[115, 67]",7,"[-13.0, -9.0]",1,[],"[12, 35, 2]",10
[69],7,"[11.0, -7.0]",1,[],"[10, 37, 2]",8
[75],7,"[13.0, -9.0]",1,[],"[30, 0, 13]",10
[79],7,"[11.0, 7.0, 7.0, -3.0]",1,[],"[1, 11, 41]",3
[85],7,"[13.0, -9.0]",1,[],"[9, 32, 1]",10
"[102, 90]",7,"[-13.0, -9.0]",1,[],"[31, 0, 13]",10
"[110, 104]",7,"[-13.0, 9.0, -9.0, -5.0]",1,[],"[31, 0, 13]",5
[127],7,"[11.0, 7.0, 7.0, -3.0]",1,[],"[10, 37, 2]",3
[130],7,"[11.0, -7.0]",1,[],"[0, 40, 14]",8
[139],7,"[11.0, 7.0, 7.0, -3.0]",1,[],"[0, 40, 14]",3
"[147, 145]",7,"[11.0, 7.0]",2,[],"[3, 46]",19
"[233, 154]",7,"[13.0, -9.0, 9.0, 5.0]",2,[],"[6, 29]",25
[158],7,"[-11.0, 7.0]",2,[],"[5, 56]",19
"[160, 159]",7,"[13.0, -9.0, 9.0, 5.0]",2,[],"[27, 4]",25
[164],7,"[-13.0, -9.0, -9.0, 5.0]",2,[],"[27, 4]",25
[171],7,"[-9.0, 5.0]",2,[],"[47, 8]",31
"[205, 179]",7,"[0.0, -9.0, 0.0, 5.0]",2,[],"[28, 8]",25
[181],7,"[9.0, 5.0]",2,[],"[43, 6]",31
[188],7,"[-9.0, 5.0]",2,[],"[4, 57]",31
[191],7,"[-13.0, 9.0, -9.0, -5.0, -5.0]",2,[198],"[27, 4]",35
"[255, 199]",7,"[13.0, 9.0, 9.0, -5.0, 5.0]",2,[201],"[27, 4]",35
"[238, 204]",7,"[13.0, 9.0, 9.0, -5.0, 5.0]",2,"[197, 203]","[6, 29]",35
[210],7,"[-13.0, 9.0, -9.0, -5.0, -5.0]",2,[200],"[28, 8]",35
[214],7,"[-11.0, 7.0]",2,[],"[42, 3]",19
"[248, 221]",7,"[0.0, 9.0, 0.0, -5.0, 0.0]",2,[199],"[28, 8]",35
"[246, 224]",7,"[0.0, 5.0]",2,[],"[53, 8]",31
[225],7,"[-13.0, -9.0, -9.0, 5.0]",2,[],"[6, 29]",25
"[267, 230]",7,"[9.0, 5.0]",2,[],"[4, 59]",31
[232],7,"[-13.0, -9.0, -9.0, 5.0]",2,[],"[28, 8]",25
"[247, 237]",7,"[0.0, 7.0]",2,[],"[5, 60]",19
[240],7,"[-11.0, 7.0]",2,[],"[7, 64]",19
[241],7,"[-13.0, 9.0, -9.0, -5.0, -5.0]",2,[202],"[6, 29]",35
"[263, 253]",7,"[11.0, 7.0]",2,[],"[7, 63]",19
[266],7,"[-9.0, 5.0]",2,[],"[51, 6]",31
[279],7,"[9.0, 5.0]",2,[],"[6, 43]",31
"[60, 5]",8,"[-13.0, -9.0]",1,[],"[0, 91, 14]",4
[6],8,"[13.0, -9.0]",1,[],"[10, 89, 2]",4
"[70, 8]",8,"[-13.0, 9.0, -9.0, -5.0]",1,[],"[10, 88, 2]",6
"[134, 30]",8,"[-13.0, -9.0]",1,[],"[10, 88, 2]",4
[37],8,"[13.0, 9.0, 9.0, -5.0]",1,[],"[1, 11, 95]",6
[44],8,"[13.0, 9.0, 9.0, -5.0]",1,[],"[0, 92, 14]",6
"[136, 56]",8,"[0.0, -9.0]",1,[],"[1, 11, 94]",4
"[61, 58]",8,"[-13.0, 9.0, -9.0, -5.0]",1,[],"[0, 91, 14]",6
[62],8,"[13.0, -9.0]",1,[],"[0, 92, 14]",4
